作品ID,作品名,作品名読み,分類番号,文字遣い種別,人物ID,姓,名,姓読み,名読み,テキストファイルURL,XHTML/HTMLファイルURL
000154,捨児,すてご,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/154_ruby_956.zip,https://www.aozora.gr.jp/cards/000879/files/154_15206.html
000143,仙人,せんにん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/143_ruby_833.zip,https://www.aozora.gr.jp/cards/000879/files/143_15209.html
000144,仙人,せんにん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/144_ruby_1107.zip,https://www.aozora.gr.jp/cards/000879/files/144_15208.html
000152,早春,そうしゅん,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/152_ruby_908.zip,https://www.aozora.gr.jp/cards/000879/files/152_15211.html
000032,大導寺信輔の半生,だいどうじしんすけのはんせい,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/32_ruby_615.zip,https://www.aozora.gr.jp/cards/000879/files/32_14481.html
000033,第四の夫から,だいよんのおっとから,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/33_ruby_1079.zip,https://www.aozora.gr.jp/cards/000879/files/33_15213.html
000164,たね子の憂鬱,たねこのゆううつ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/164_ruby_1455.zip,https://www.aozora.gr.jp/cards/000879/files/164_15214.html
000173,忠義,ちゅうぎ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/173_ruby_837.zip,https://www.aozora.gr.jp/cards/000879/files/173_15216.html
000031,偸盗,ちゅうとう,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/31_ruby_584.zip,https://www.aozora.gr.jp/cards/000879/files/31_15217.html
000166,手紙,てがみ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/166_ruby_1459.zip,https://www.aozora.gr.jp/cards/000879/files/166_15219.html
000034,伝吉の敵打ち,でんきちのかたきうち,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/34_ruby_1130.zip,https://www.aozora.gr.jp/cards/000879/files/34_15220.html
000135,道祖問答,どうそもんどう,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/135_ruby_765.zip,https://www.aozora.gr.jp/cards/000879/files/135_15221.html
043015,杜子春,とししゅん,NDC K913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/43015_ruby_17393.zip,https://www.aozora.gr.jp/cards/000879/files/43015_17432.html
043016,トロッコ,トロッコ,NDC K913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/43016_ruby_16663.zip,https://www.aozora.gr.jp/cards/000879/files/43016_16836.html
000109,尼提,にだい,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/109_ruby_1423.zip,https://www.aozora.gr.jp/cards/000879/files/109_15222.html
001031,女仙,にょせん,NDC K913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/1031_ruby_1963.zip,https://www.aozora.gr.jp/cards/000879/files/1031_14564.html
000114,女体,にょたい,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/114_ruby_999.zip,https://www.aozora.gr.jp/cards/000879/files/114_15224.html
000106,葱,ねぎ,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/106_ruby_889.zip,https://www.aozora.gr.jp/cards/000879/files/106_15226.html
042377,歯車,はぐるま,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/42377_ruby_34744.zip,https://www.aozora.gr.jp/cards/000879/files/42377_34745.html
000042,鼻,はな,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/42_ruby_154.zip,https://www.aozora.gr.jp/cards/000879/files/42_15228.html
000041,母,はは,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/41_ruby_1553.zip,https://www.aozora.gr.jp/cards/000879/files/41_15229.html
000045,春,はる,NDC 913,新字新仮名,000879,芥川,竜之介,あくたがわ,りゅうのすけ,https://www.aozora.gr.jp/cards/000879/files/45_ruby_1083.zip,https://www.aozora.gr.jp/cards/000879/files/45_15230.html
