書誌ID	タイトル	副題	巻号	責任表示	出版者	出版年	ISBN	判型	ページ数	ジャンル1	ジャンル2	ジャンル3	ジャンル4	責任表示ID
BK_20287671	サッカーの惑星	W杯参加国ガイドブック		読売新聞社運動部|編	中央公論新社	2002	4122040280	16cm	187	7 芸術・美術	783	1175		00259670
BK_20287949	北斎おんな秘図			大下英治|著	廣済堂出版	2002	4331609499	16cm	300	9 文学	913	0193		00122637
BK_20287951	拷問法廷			南英男|著	青樹社	2001	4791312422	15cm	341	9 文学	913	0193		00043503
BK_20287956	堕とされしもの	天使の血脈	下	篠田真由美|著	徳間書店	2002	4199051120	16cm	382	9 文学	913	0193		00176630
BK_20287977	淡路の釣りガイド			石原弘美|著	神戸新聞総合出版センター	2001	4343001237	21cm	223	7 芸術・美術	787	9476		00813739
BK_20288501	みんなで学ぶ過食と拒食とダイエット	1000万人の摂食障害入門		切池信夫|著	星和書店	2001	4791104641	19cm	303	4 自然科学	493	0047		00810176
BK_20288505	インベストメントスーパースター	ヘッジファンドの素顔とその驚異の投資法		ルイ・ペルス|著;長尾慎太郎|監修;岡村桂|訳	パンローリング	2002	4939103528	20cm	513	3 社会科学	338	2033		00881255;00759076;00881256
BK_20288691	大河ドラマ利家とまつ	加賀百万石物語　NHK大河ドラマ完全ガイド			東京ニュース通信社	2002	4924566144	27cm	170	7 芸術・美術	778	9474		
BK_20288910	資料体系アジア・アフリカ国際関係政治社会史		第5巻　[第5分冊　o]	浦野起央|編著	パピルス出版	2002	4894730219	23cm	8329	3 社会科学	319			00088928
BK_20288931	佐賀の窯元めぐり	陶磁のこころを深く味わう…	有田・伊万里編		佐賀新聞社	2002	4882981211	26cm	279	7 芸術・美術	751			
BK_20288980	小児科診療マニュアル	すべての研修医のために		森川昭廣，内山聖|編	医学書院	2002	4260119133	21cm	241	4 自然科学	493	3047		00693196;00141907
BK_20288989	小規模社会福祉法人通所授産施設開設のための総合ガイド	解説Q&A申請書記入例関係法令通知		きょうされん|編	中央法規出版	2002	4805844086	21cm	313	3 社会科学	369	3036		00881425
BK_20289011	方言地理学の課題			馬瀬良雄|監修;佐藤亮一，小林隆，大西拓一郎|編	明治書院	2002	4625433142	22cm	523	8 言語	818	3081		00040442;00542237;00416852;00881393
BK_20289013	21世紀の｢生命｣を考える	これからの健康科学		岡田安弘|著	金芳堂	2001	4765310450	22cm	307	4 自然科学	490	3047		00126159
BK_20289064	生命倫理とこころのケア			安藤満代，丸山マサ美|著	吉備人出版	2002	486069001X	19cm	103	4 自然科学	490			00872474;00881610
BK_20289090	魂のメカニズム	幸せになる法則を知り自己実現に向かう本		石崎明|著	文芸社	2002	4835539079	19cm	199	1 哲学	146	2047		00881673
BK_20289094	お笑い超大国中国的真実			鷹木敦|著;浅賀行雄|画	講談社	2002	406211268X	20cm	283	3 社会科学	302	0095		00881680;00115323
BK_20289106	幸福になったネロ			さいとうきよこ|著	文芸社	2002	4835538684	19cm	154	9 文学	913	0095		00881708
BK_20289110	北京	胡同に生きる		NHK｢アジア古都物語｣プロジェクト|編	日本放送出版協会	2002	4140806877	20cm	203	2 歴史	292	0326		00257035
BK_20289127	抵抗勢力は誰か	改革を阻む"亡国の徒"リスト		屋山太郎|著	PHP研究所	2002	4569621937	20cm	268	3 社会科学	312	0030		00132652
